# Chinese → Japanese learner glosses
# Source: lxl66566/Japanese-Chinese-thesaurus final.json
# Upstream: https://github.com/lxl66566/Japanese-Chinese-thesaurus
# License: The Unlicense
# Method: invert concise Chinese gloss segments and intersect bundled Moran dictionaries
# Format: Chinese<TAB>Japanese; multiple Japanese forms use ・
# Generated: 2026-08-28
啊	おお・やあ
哎	いざ・ちょっと
哎哎	ねえねえ
哎呀	いや・おお
哀悼	悼む
哀叹	嘆く
挨个儿	軒並み
挨近	寄り添う・寄る
挨着	隣り合う
爱	愛・愛する
爱迪生	エジソン
爱好	嗜む・好き［な］
爱好者	マニア・愛好者
爱慕	好く
爱情	情け・愛情
爱惜	惜しむ・重宝
暧昧不清	煮え切らない
暧昧的	漠然
安保	セキュリティー
安打	ヒット
安定	安定・定まる
安抚	宥める
安静	安静・沈黙
安静地	すやすや
安静的	安らか・静か
安排	アレンジ・アレンジする
安全	セキュリティー・セーフ
安全带	シートベルト
安适	楽々
安藤百福	安藤百福
安慰	いやし・労わる
安闲	のんき・安易
安详	しっとり
安逸	気楽
安置	備え付ける・配置
安装	インストール・セット
俺	おれ
岸	岸
岸边	岸・渚
按	押さえる・押します
按摩	マッサージ
按钮	ボタン
按顺序	順々に
按照	照らす
按住	抑える/押さえる・押さえ込む
案例	ケース
暗淡	灰色・真っ暗
暗地	陰
暗号	サイン
暗示	ヒント・暗示
暗中	陰
肮脏的	汚らわしい
凹进去	引っ込む
凹下	凹む
熬	煮る・煮込む
熬夜	夜更かし・徹夜
傲慢	生意気・驕る
奥林匹克	オリンピック
奥运会	オリンピック
懊悔	くやしい・悔いる
懊恼	くやしい
澳大利亚	オーストラリア
八	八
八个	8つ・八つ
八岁	八つ
巴结	媚びる
巴黎	パリ
巴士	バス
扒下	剥ぐ
拔出	抜き出す
跋扈	横行
把	束
把儿	取っ手
把手	取っ手
把握	押さえる
把戏	演技
坝	堤防
爸爸	お父さん・パパ
罢工	ストライキ
罢课	ストライキ
罢免	リコール
罢市	ストライキ
霸凌	苛め
霸占	横領
白菜	白菜
白发	白髪
白费	無駄
白酒	白酒
白兰瓜	メロン
白热化	白熱
白色的	白い
白天	昼・昼間
白纸	白紙
百	百
百分比	パーセント
百货商店	百貨店
百折不回	七転び八起き
百折不挠	七転び八起き
摆	振る
摆出姿势	構える
摆动	動揺・振ります
摆放	置きます
摆架子	威張る
摆弄	弄る
摆脱	免れる・切り抜ける
摆在面前	突きつける
败北	敗れる
败坏	傷付ける
败坏名誉	恥じる
败露	ばれる
拜访	お邪魔します・伺います
拜会	おめにかかる（お目にかかる）拜会，见面，会见
拜见	拝眉
拜托	頼む・願う
拜谒	拝眉
班级	クラス・学級
斑点	ぼつぼつ
搬家	引っ越しします・引っ越す
搬进	入居
搬迁	引っ越し・引っ越す
搬走	立ち退き・立ち退く
板	板・构造
板块	构造
版本升级	バージョンアップ
版面	セクション
办法	仕方・仕様
办公	事務
办公室	オフィス・事務所
办理	取り扱い・執る
办事处	役場
办完	済ます・済ませます
半	半
半吊子	半人前
半个人	半人前
半斤八两	似たり寄ったり
半径	半径
半年	半年
半数	半数
半途而废	中途半端
半新	中古
伴侣	連れ
伴随	伴う・添える
扮演	務める・演じる
扮作	仕立てる
绊倒	突っかかる
帮忙	手伝います・手伝う
帮腔	相槌
帮助	お手伝い・世話
绑	結ぶ
绑架	拉致
榜样	手本
傍晚	夕方・夕暮れ
棒球场	スタジアム
包	包む
包庇	庇う
包袱	包み
包裹	包み・包みます
包含	こめる・こもる
包括	こめる
包括在内	込める
包围	取り囲む
包装	パック・パッケージ
包装纸	包み紙
包子	饅頭
薄薄地	うっすり
薄脆饼干	煎餅
薄膜	フィルム
薄型	薄型
宝贝	宝物
宝贵	ありがたさ・大事
宝贵的	尊い/貴い・貴重
宝石	宝石
保	保つ
保安	守衛
保持	守る・持続
保持平衡	釣り合う
保存	上書き
保管	管理・預かる
保护	保護・守ります
保健	厚生・養護
保留	セーブ
保密	伏せる
保姆	お手伝いさん
保守	保守
保卫	防衛
保鲜膜	ラップ
保险柜	金庫
保修	アフターサービス
保养	保守
保证	請け合う
保重	ご自愛
保住	保つ
保住性命	生き残る
报偿	報いる・報う
报仇	仕返し・報いる
报酬	待遇・賃金
报答	報いる・報う
报道	レポート・記事
报复	仕返し・報いる
报告	アナウンス・レポート
报馆	新聞社
报名	申し出る・申し込み
报名参加	エントリー
报社	新聞社
抱	抱っこ
抱紧	抱き締める
抱歉	すまない・恐縮
抱怨	ぶつぶつ・クレーム
暴跌	急落
暴风雪	吹雪・暴風雪
