# Chinese → Japanese offline glosses
# Source: open-dict-data/wikidict-ja (Wikidata interwiki links)
# Upstream: https://github.com/open-dict-data/wikidict-ja
# License: CC0 1.0 Universal
# Scope: pure-Han entries present in bundled Moran dictionaries
# Format: Chinese<TAB>Japanese; multiple Japanese forms use ・
# Generated: 2026-08-28
吖丁啶	アゼチジン
吖啶	アクリジン
阿巴丹	アーバーダーン
阿巴嘎旗	アバグ旗
阿巴斯港	バンダレ・アッバース
阿拔斯	アッバース
阿拔斯王朝	アッバース朝
阿坝藏族羌族自治州	アバ・チベット族チャン族自治州
阿坝县	アバ県
阿柏怪	アーボック
阿柏蛇	アーボ
阿拜多斯	アビドス
阿贝尔奖	アーベル賞
阿贝尔群	アーベル群
阿倍野桥魔法商店街	アベノ橋魔法☆商店街
阿苯达唑	アルベンダゾール
阿比让	アビジャン
阿波罗	アポローン
阿波罗计划	アポロ計画
阿波舞	阿波踊り
阿伯丁	アバディーン
阿伯丁郡	アバディーンシャー
阿卜杜拉	アブドゥッラー
阿布	アブ (曖昧さ回避)
阿布贾	アブジャ
阿布鲁佐	アブルッツォ州
阿布沙耶夫	アブ・サヤフ
阿布扎比	アブダビ
阿部敦	阿部敦
阿部规秀	阿部規秀
阿部力	阿部力
阿部真央	阿部真央
阿昌族	アチャン族
阿城	阿城
阿城区	阿城区
阿澄佳奈	阿澄佳奈
阿閦佛	阿しゅく如来
阿达纳	アダナ
阿达帕林	アダパレン
阿黛尔的生活	アデル、ブルーは熱い色
阿道夫	アドルフ
阿德福韦	アデホビル
阿德莱德	アデレード
阿德勒	アドラー
阿德里亚	アドリア (イタリア)
阿德曼动画	アードマン・アニメーションズ
阿蒂米斯	アッティミス
阿多尼斯	アドーニス
阿尔巴尼亚	アルバニア
阿尔卑斯山	アルプス山脈
阿尔卑斯山的少女	アルプスの少女ハイジ (アニメ)
阿尔贝维尔	アルベールヴィル
阿尔比	アルビ
阿尔比恩	アルビオン
阿尔伯特	アルバート
阿尔博里奥	アルボーリオ
阿尔丹	アルダン
阿尔法诺	アルファーノ
阿尔戈	アルゴール
阿尔戈斯	アルゴス (ギリシャ)
阿尔汉格尔斯克	アルハンゲリスク
阿尔汉格尔斯克州	アルハンゲリスク州
阿尔及利亚	アルジェリア
阿尔金山脉	アルチン山脈
阿尔坎塔拉	アルカンタラ
阿尔科	アルコ (イタリア)
阿尔梅	アルメ
阿尔梅勒	アルメレ
阿尔梅里亚	アルメリア
阿尔乔姆	アルチョーム
阿尔萨斯	アルザス地域圏
阿尔塞斯	アルセス
阿尔山市	アルシャン市
阿尔斯通公司	アルストム
阿尔泰山脉	アルタイ山脈
阿尔泰语系	アルタイ諸語
阿尔托	アルト (イタリア)
阿尔瓦塞特	アルバセテ
阿耳忒弥斯	アルテミス
阿法替尼	アファチニブ
阿凡达	アバター (映画)
阿房宫	阿房宮
阿伏伽德罗常数	アボガドロ定数
阿伏伽德罗定律	アボガドロの法則
阿佛洛狄忒	アプロディーテー
阿芙乐尔号巡洋舰	アヴローラ (防護巡洋艦)
阿富汗	アフガニスタン
阿甘正传	フォレスト・ガンプ/一期一会
阿格拉	アーグラ
阿格莱亚	アグライアー
阿根廷	アルゼンチン
阿根廷杯	コパ・アルヘンティーナ
阿贡火山	アグン山
阿古柏	ヤクブ・ベク
阿桂	アグイ
阿寒湖	阿寒湖
阿合奇县	アクチ県
阿贺野	阿賀野
阿赫利	アル・アハリ (曖昧さ回避)
阿基米德	アルキメデス
阿基米德螺线	代数螺旋
阿基坦	アキテーヌ地域圏
阿吉雷	アギーレ
阿加迪尔	アガディール
阿加雷斯	アガレス
阿加尼亚	ハガニア
阿伽门农	アガメムノーン
阿胶	阿膠
阿喀琉斯	アキレウス
阿卡佩拉	ア・カペーラ
阿卡普尔科	アカプルコ
阿克巴	アクバル
阿克拉	アクラ
阿克雷里	アークレイリ
阿克伦	アクロン
阿克塞哈萨克族自治县	アクサイ・カザフ族自治県
阿克赛钦	アクサイチン
阿克苏地区	アクス地区
阿克苏市	アクス市
阿克陶县	アクト県
阿肯色大学	アーカンソー大学
阿肯色州	アーカンソー州
阿空加瓜山	アコンカグア
阿拉伯	アラビア
阿拉伯半岛	アラビア半島
阿拉伯国家联盟	アラブ連盟
阿拉伯海	アラビア海
阿拉伯河	シャットゥルアラブ川
阿拉伯联合酋长国	アラブ首長国連邦
阿拉伯人	アラブ人
阿拉伯沙漠	アラビア砂漠
阿拉伯世界	アラブ世界
阿拉伯数字	アラビア数字
阿拉伯糖	アラビノース
阿拉伯语	アラビア語
阿拉伯字母	アラビア文字
阿拉德	アラド (ルーマニア)
